,flag,avg min between sent tnx,avg min between received tnx,time diff between first and last (mins),sent tnx,received tnx,unique received from addresses,unique sent to addresses,min value received,avg val received,min val sent,total ether balance,total erc20 tnxs,erc20 total ether received,erc20 total ether sent,erc20 uniq sent addr,erc20 uniq rec addr,erc20 uniq rec contract addr,erc20 min val rec,erc20 uniq sent token name
0,0,844.26,1093.71,704785.63,721,89,40,118,0.0,6.589513,0.0,-279.2244185,265.0,35588543.78,35603169.52,30.0,54.0,58.0,0.0,39.0
1,0,12709.07,2958.44,1218216.73,94,8,5,14,0.0,0.385685,0.0,-0.001818811,8.0,403.4283054,2.260809454,1.0,5.0,7.0,0.0,1.0
2,0,246194.54,2434.02,516729.3,2,10,10,2,0.113119,0.358906,0.05,0.000441,8.0,521.5120705,0.0,0.0,7.0,8.0,0.0,0.0
3,0,10219.6,15785.09,397555.9,25,9,7,13,0.0,99.48884,0.0,-854.6463028999998,14.0,17111.05191,11412.23068,2.0,11.0,11.0,0.0,1.0
4,0,36.61,10707.77,382472.42,4598,20,7,19,0.0,2.671095,0.0,-50.89698629,42.0,162829.6609,123539.9329,4.0,23.0,27.0,0.0,6.0
5,0,9900.12,375.48,20926.68,2,3,2,1,0.7241479999999999,3.2349080000000003,4.1668,0.001008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,69.46,629.44,8660.35,25,11,9,20,0.049,1.098115,0.009457,0.016871896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,1497.39,176.84,319828.05,213,5,3,3,0.11849,0.891098,0.0,-4.2479024160000005,7.0,397.951964,0.0,0.0,5.0,7.0,0.0,0.0
8,0,0.0,0.0,496.62,1,1,1,1,2.0,2.0,1.99938,0.00062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,2570.59,3336.01,30572.7,8,3,2,4,0.1,16.7,0.1,-98.977,1.0,600.0,0.0,0.0,1.0,1.0,600.0,0.0
10,0,32.45,12921.57,129540.15,10,10,2,1,1.000052,1.004819,0.999088,0.007636018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0,3716.41,1448.09,385961.98,8,246,4,3,0.118061,3.381313,0.01,0.004047714,8.0,6193.025913,0.0,0.0,7.0,8.0,0.0,0.0
12,0,0.0,12431.27,198900.25,0,16,4,0,0.0,0.769166,0.0,12.30665958,2.0,0.181283664,0.0,0.0,2.0,2.0,0.0753669999999999,0.0
13,0,9520.7,5776.32,78197.58,7,2,2,4,0.095,0.180079,0.0,0.097217423,3.0,8.001,0.0,0.0,2.0,2.0,0.001,0.0
14,0,14106.66,3742.82,540061.9,32,24,11,21,0.0,77.125266,0.0,-1422.982347,33.0,139827.7923,133086.5,4.0,23.0,26.0,0.0,4.0
15,0,757.91,11.08,25802.32,34,3,3,13,0.091844,0.530615,0.0,0.086741405,4.0,0.0,5e-06,3.0,0.0,0.0,0.0,1.0
16,0,3.13,4923.24,280803.43,57,57,2,2,0.016037,0.204013,0.015617,0.023940002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,27681.45,11171.03,842599.05,26,11,6,15,0.09,16.564688,0.0,-75.09543387,13.0,308440.3104,307097.3104,4.0,8.0,7.0,0.0,3.0
18,0,770.29,3.82,2318.5,3,2,1,3,7.772,13.8835,3.7,0.001323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,163.78,1.11,329.78,2,2,2,2,44.048882,50.5,0.61,0.001026218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,0.0,6324.45,113840.02,0,18,5,0,0.0,5.662421,0.0,101.9235724,2.0,4.983578382,0.0,0.0,2.0,2.0,2.0,0.0
21,0,725.77,41108.66,292841.02,7,7,4,3,0.0,8.407243,2.0,-98.24164672,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
22,0,91.14,64.3,712.88,5,4,4,5,0.5,2.1875,0.377203,0.002245057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0,2477.34,6928.28,892782.2,8,126,1,2,0.013556,0.342666,0.1,33.07587621,16.0,2765.749578,100.0,1.0,9.0,15.0,0.0,1.0
24,0,0.0,13339.9,226778.27,0,17,6,0,0.0,4.860215,0.0,82.62366163,3.0,4.804121022,0.0,0.0,3.0,3.0,0.920501,0.0
25,0,0.0,0.0,30.65,1,1,1,1,4.999,4.999,4.99774,0.00126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0,1797.42,60933.08,330187.83,82,3,3,7,0.0,11.666667,0.0,-27.341,11.0,1473.843474,0.0,0.0,8.0,11.0,0.0,0.0
27,0,0.0,0.0,68.87,1,1,1,1,0.5476489999999999,0.5476489999999999,0.546389,0.00126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0,155.22,112602.93,338429.65,4,3,3,3,0.0,1.512385,2.0,-3.882478376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0,14626.26,6594.93,955278.0,59,14,7,34,0.00979,167.979641,0.0,-188.368881,48.0,1555219.09,1545239.0280000004,12.0,26.0,23.0,0.0,11.0
30,0,0.0,5498.63,291427.53,0,53,4,0,0.0,0.504895,0.0,26.75944516,2.0,0.55819781,0.0,0.0,2.0,2.0,0.10587,0.0
31,0,3.33,51068.75,561789.58,10,11,8,1,0.022663,5.11114,0.923126,0.00761642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0,1128.56,0.0,2257.12,2,1,1,2,1.7479810000000002,1.7479810000000002,0.0,1.74798122,10.0,327.9083121000001,0.0,0.0,8.0,9.0,0.0,0.0
